#options: 2560x1440 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2243 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:64 out:65 type:b dur:2 cpbdur:2 q:38.87 aq:42.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:37.58 aq:28.01 tex:88292 mv:1981 misc:9247 imb:0 pmb:2887 smb:11513 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:38.13 aq:40.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:38.40 aq:42.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:37.85 aq:41.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:36.53 aq:27.14 tex:208174 mv:2936 misc:12562 imb:14 pmb:5467 smb:8919 d:- ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:37.05 aq:38.96 tex:100 mv:122 misc:690 imb:0 pmb:17 smb:14383 d:- ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:37.32 aq:41.00 tex:2 mv:28 misc:666 imb:0 pmb:12 smb:14388 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:36.79 aq:40.00 tex:1 mv:71 misc:648 imb:0 pmb:5 smb:14395 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:35.61 aq:26.44 tex:275225 mv:2919 misc:13336 imb:4 pmb:6617 smb:7779 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:36.07 aq:34.52 tex:117 mv:117 misc:670 imb:0 pmb:12 smb:14388 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:36.30 aq:40.00 tex:1 mv:52 misc:667 imb:0 pmb:10 smb:14390 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:35.84 aq:39.00 tex:36 mv:99 misc:649 imb:0 pmb:8 smb:14392 d:- ref:0 ;
in:79 out:78 type:P dur:2 cpbdur:2 q:34.67 aq:25.61 tex:503906 mv:3155 misc:12707 imb:3 pmb:9537 smb:4860 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:35.14 aq:39.00 tex:73 mv:113 misc:662 imb:0 pmb:12 smb:14388 d:- ref:0 ;
in:83 out:80 type:P dur:2 cpbdur:2 q:34.33 aq:25.03 tex:358685 mv:2240 misc:13411 imb:20 pmb:6277 smb:8103 d:- ref:0 ;
in:81 out:81 type:B dur:2 cpbdur:2 q:34.50 aq:39.56 tex:1709 mv:227 misc:704 imb:2 pmb:29 smb:14369 d:- ref:0 ;
in:80 out:82 type:b dur:2 cpbdur:2 q:34.59 aq:36.17 tex:142 mv:125 misc:661 imb:0 pmb:17 smb:14383 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:34.41 aq:36.25 tex:1729 mv:184 misc:663 imb:2 pmb:22 smb:14376 d:- ref:0 ;
in:85 out:84 type:P dur:2 cpbdur:2 q:33.96 aq:24.60 tex:476871 mv:2156 misc:13349 imb:15 pmb:6765 smb:7620 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:34.14 aq:38.00 tex:17 mv:127 misc:672 imb:0 pmb:15 smb:14385 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:33.63 aq:24.17 tex:318754 mv:2093 misc:11937 imb:17 pmb:4522 smb:9861 d:- ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:33.79 aq:35.73 tex:2816 mv:357 misc:771 imb:4 pmb:48 smb:14348 d:- ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:33.88 aq:33.50 tex:185 mv:249 misc:734 imb:0 pmb:35 smb:14365 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:33.71 aq:37.00 tex:2 mv:42 misc:660 imb:0 pmb:12 smb:14388 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:33.61 aq:23.84 tex:174848 mv:1080 misc:9712 imb:14 pmb:2700 smb:11686 d:- ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:33.62 aq:36.07 tex:1065 mv:191 misc:704 imb:0 pmb:28 smb:14372 d:- ref:0 ;
